Category,Capability,AOD,AAM,DCL,Convergence,NLQ,Farm,Platform,Console,Status,Scope,Notes,v8.2 Delta
A2A Protocol,Agent discovery,,,,,,I,,,Aspirational,SE/ME,,v8→v8.1: AOA cancelled.
A2A Protocol,Context sharing,,,,,,I,,,Aspirational,SE/ME,,v8→v8.1: AOA cancelled.
A2A Protocol,Task delegation,,,,,,C,,,Aspirational,SE/ME,,v8→v8.1: AOA cancelled.
AAM Controls,Control surface gating by mode,,A/R,,,,,,,On Docket,SE/ME,"Gates dormant/superseded controls based on get_operating_mode(). SYNTHETIC skips dispatch, runners, collectors, self-healing. Guard clause per control entry point. Logs skipped controls.",
AAM Controls,Decoupled infer endpoint (no dispatch in SYNTHETIC),,A/R,,,,,,,On Docket,SE/ME,POST /api/aam/infer returns after pipe inference + triple write without dispatching JobManifest in SYNTHETIC mode. Response includes ledger entry for Platform verification.,
AAM Controls,Layer 1 data drift (triple-store signals),,A/R,,,,,,,On Docket,SE/ME,"Four drift signals from triple-store queries: schema drift (concept+property delta), freshness drift, coverage drift (missing domains), volume drift (>20% change). Pluggable DriftSignal interface. Read-only PG queries.",
AAM Controls,Operating mode detection (get_operating_mode),,A/R,,,,,,,On Docket,SE/ME,"Three-value enum: SYNTHETIC, PRODUCTION_SE, PRODUCTION_ME. Data-driven detection from MCP connection registry + entity count. Single gating function for all control surfaces.",
AAM Controls,Triple write ledger (AAM-local audit trail),,A/R,,,,,,,On Docket,SE/ME,"SQLite table tracking every triple write AAM makes. Columns: run_id, entity_id, trigger, write_path, concept_prefixes, triple_count, status, error_detail, pipe_id, duration_ms. Three GET APIs.",
AAM Handoff,ConnectionCandidate export,A/R,,,,,,,,Live,SE/ME,,
Action,Fabric Action Routing,,C,,,,I,,,Cancelled,SE/ME,Routes 'Write' intent to Fabric Plane,v8→v8.1: AOA cancelled.
Action,Transaction Execution,,R,,,,I,,,Cancelled,SE/ME,Executes via AAM Adapters,v8→v8.1: AOA cancelled.
Adapters,Adapter Factory Resolution,,A/R,,,,I,,,Stub,SE/ME,Instantiates Strategy (Gateway vs Bus),
