Category,Capability,AOD,AAM,DCL,Convergence,NLQ,Farm,Platform,Console,Status,Scope,Notes,v8.2 Delta
A2A Protocol,Agent discovery,,,,,,I,,,Aspirational,SE/ME,,
A2A Protocol,Context sharing,,,,,,I,,,Aspirational,SE/ME,,
A2A Protocol,Task delegation,,,,,,C,,,Aspirational,SE/ME,,
AAM Controls,Control surface gating by mode,,A/R,,,,,,,On Docket,SE/ME,"Gates dormant/superseded controls based on get_operating_mode(). SYNTHETIC skips dispatch, runners, collectors, self-healing. Guard clause per control entry point. Logs skipped controls.",
AAM Controls,Decoupled infer endpoint (no dispatch in SYNTHETIC),,A/R,,,,,,,On Docket,SE/ME,POST /api/aam/infer returns after pipe inference + triple write without dispatching JobManifest in SYNTHETIC mode. Response includes ledger entry for Platform verification.,
AAM Controls,Layer 1 data drift (triple-store signals),,A/R,,,,,,,On Docket,SE/ME,"Four drift signals from triple-store queries: schema drift (concept+property delta), freshness drift, coverage drift (missing domains), volume drift (>20% change). Pluggable DriftSignal interface. Read-only PG queries.",
AAM Controls,Operating mode detection (get_operating_mode),,A/R,,,,,,,On Docket,SE/ME,"Three-value enum: SYNTHETIC, PRODUCTION_SE, PRODUCTION_ME. Data-driven detection from MCP connection registry + entity count. Single gating function for all control surfaces.",
AAM Controls,Triple write ledger (AAM-local audit trail),,A/R,,,,,,,On Docket,SE/ME,"SQLite table tracking every triple write AAM makes. Columns: run_id, entity_id, trigger, write_path, concept_prefixes, triple_count, status, error_detail, pipe_id, duration_ms. Three GET APIs.",
AAM Handoff,ConnectionCandidate export,A/R,,,,,,,,Live,SE/ME,,
Action,Fabric Action Routing,,C,,,,I,,,Cancelled,SE/ME,Routes 'Write' intent to Fabric Plane,
Action,Transaction Execution,,R,,,,I,,,Cancelled,SE/ME,Executes via AAM Adapters,
Adapters,Adapter Factory Resolution,,A/R,,,,I,,,Stub,SE/ME,Instantiates Strategy (Gateway vs Bus),
Adapters,"API Gateway Adapter (Kong, Apigee)",,A/R,,,,I,,,Stub,SE/ME,Managed API Proxy,
Adapters,"API Gateway Connection (Kong, Apigee)",,A/R,,,,I,,,Stub,SE/ME,Proxy/REST modality,
Adapters,"Data Warehouse Connection (Snowflake, BigQuery)",,A/R,,,,I,,,Stub,SE/ME,JDBC/Bulk Read modality,
Adapters,"Event Bus Adapter (Kafka, EventBridge)",,A/R,,,,I,,,Stub,SE/ME,Streaming Consumer,
Adapters,"Event Bus Connection (Kafka, EventBridge)",,A/R,,,,I,,,Stub,SE/ME,Streaming Consumer modality,
Adapters,"iPaaS Adapter (Workato, MuleSoft)",,A/R,,,,I,,,Stub,SE/ME,Webhooks/Signals,
Adapters,"IPAAS Connection (Workato, MuleSoft)",,A/R,,,,I,,,Stub,SE/ME,Webhooks/Signals modality,
Adapters,Pipe Discovery from Plane,,A/R,,,,I,,,Stub,SE/ME,Inventory reusable data pipes,
Adapters,Plane Health Check,,A/R,,,,I,,,Stub,SE/ME,Monitor adapter connectivity,
Adapters,"Warehouse Adapter (Snowflake, BigQuery)",,A/R,,,,I,,,Stub,SE/ME,JDBC Read,
Agent Lifecycle,Agent health monitoring,,,,,,C,,,Cancelled,SE/ME,,
Agent Lifecycle,Agent registration & configuration,,,,,,I,,,Cancelled,SE/ME,,
Agent Lifecycle,Agent version management,,,,,,I,,,Cancelled,SE/ME,,
Agent Registry,Agent discovery & inventory,C,C,I,,,I,,,Cancelled,SE/ME,Agents as first-class assets,
Agent Registry,Agent metadata & ownership,I,I,C,,,I,,,Cancelled,SE/ME,"Domain, owner, trust",
Approval Workflows,Approval request generation,,,,,,I,,,Cancelled,SE/ME,,
Approval Workflows,Human-in-the-loop routing,,,,,,I,,,Cancelled,SE/ME,,
Approval Workflows,Override tracking,,,,,,I,,,Cancelled,SE/ME,,
Asset Scan,Asset Discovery (Legacy Endpoints),A/R,,,,,,,,Live,SE/ME,Legacy Fallback,
Asset Scan,Policy Manifest Export (Governance Rules),A/R,C,,,,,,,Live,SE/ME,Export rules for AAM to enforce,
Candidate Intake,Candidate Defer,,A/R,,,,I,,,Live,SE/ME,Defer with reason,
Candidate Intake,Candidate Ingestion,R,A,,,,I,,,Live,SE/ME,Receives from AOD,
Candidate Intake,Candidate Match to Pipe,,A/R,,,,I,,,Live,SE/ME,Link candidate to existing pipe,
Candidate Intake,Candidate Triage,,A/R,,,,I,,,Live,SE/ME,Status management,
Capabilities,Capability contract registration,I,I,C,,,I,,,Cancelled,SE/ME,Declared agent abilities,
Capabilities,Capability drift detection,C,C,C,,,I,,,Cancelled,SE/ME,Observed vs declared behavior,
Classification & Governance,Governance status determination,A/R,,,,,C,,,Live,SE/ME,,
Classification & Governance,IdP governance policy enforcement,A/R,,,,,C,,,Live,SE/ME,,
Classification & Governance,Shadow IT classification,A/R,,,,,C,,,Live,SE/ME,,
Classification & Governance,Vendor governance propagation,A/R,,,,,,,,Live,SE/ME,,
Classification & Governance,Zombie asset detection,A/R,,,,,C,,,Live,SE/ME,,
Collector Operations,Collector Registration,,A/R,,,,I,,,Live,SE/ME,Register collection strategies,
Collector Operations,Collector Run Execution,,A/R,,,,I,,,Live,SE/ME,Execute with tracking,
Collector Operations,Generate Observations,,A/R,,,,C,,,Live,SE/ME,,
Collector Operations,Observation Storage,,A/R,,,,I,,,Live,SE/ME,Raw collector output,
Collector Operations,Register Collectors,,A/R,,,,I,,,Live,SE/ME,,
Collector Operations,Run Collectors,,A/R,,,,C,,,Live,SE/ME,,
Collector Operations,Track Collector Runs,,A/R,,,,I,,,Live,SE/ME,,
Connector Provisioning,Config Storage,,,A/R,,,I,,,Aspirational,SE/ME,Aspirational — no code implementation,
Connector Provisioning,Dynamic Reconnection,,,A/R,,,C,,,Aspirational,SE/ME,Aspirational — no code implementation,
Contract,Downstream Consumer Protocol (NLQ Interface),,,A/R,R,C,C,,,Live,SE/ME,DCL provides semantic API for NLQ consumption,
Convergence,Bridge (Target pipes join Acquirer pipes),,,C,A/R,,C,demo,I,On Docket,ME,"Same engine as base AOS. Entity is a tag, not a separate brain. No split brain",
Convergence,COFA Merge tab (DCL UI),,,C,A/R,,,demo,I,Live,ME,"5 sections: merge overview, side-by-side comparison, match table, orphans, triple browser. Read-only",
Convergence,Combining financial statements (4-column proforma),,,C,A/R,,C,demo,A/R,On Docket,ME,Entity A | Entity B | Adjustments | Combined. Every adjustment links to conflict register,
Convergence,Cross-sell analysis,,,C,A/R,I,,demo,C,On Docket,ME,Identifies revenue opportunities from combining customer bases,
Convergence,Diligence Integration Package (output bundle),,,,A/R,,,demo,A/R,On Docket,ME,"Unified CoA, conflict register, combined FS, EBITDA bridge, cross-sell, audit trail. §1.3.3",
Convergence,EBITDA bridge with confidence grades,,,C,A/R,I,C,demo,A/R,On Docket,ME,Adjustment categories with what-if sliders. High/medium/low confidence. Linked to evidence,
Convergence,Entity resolution,,,C,A/R,,,demo,C,On Docket,ME,Match entities across acquirer and target. O(n²) per advisory ruling,
Convergence,Hard accounting gates (deterministic validation),,,C,A/R,,C,,,Live,ME,"DR=CR, revenue identity, asset identity, BS identity. Mai cannot override. §5.3",
Convergence,Multi-entity data pipeline (entity_id tagging),,,—,A/R,,A/R,demo,I,Live,ME,"Both entities flow through separate Farm configs → triple conversion → Convergence's convergence_triples table tagged by entity_id. ME triples never write to DCL's semantic_triples. Farm ME push routes to Convergence backend (port 8010), not DCL.",
Convergence,Overlap/concentration analysis,,,C,A/R,I,,demo,C,On Docket,ME,"Customer, vendor, geographic concentration across both entities",
Convergence,Quality of Earnings (QofE),,,C,A/R,I,C,demo,A/R,On Docket,ME,"Recurring vs non-recurring, trending, normalization. Feeds from EBITDA bridge",
Coordination,Arbitration & conflict resolution,I,I,C,,,I,,,Cancelled,SE/ME,Deterministic outcomes,
Coordination,Multi-agent workflow orchestration,I,C,C,,,I,,,Cancelled,SE/ME,Fan-in / fan-out,
Data Mode,Demo Mode (Farm-sourced synthetic data),,C,R,,I,A/R,,,Live,SE/ME,"Farm generates synthetic data via entity configs. SE (e.g., BlueLogic): output triples push to DCL HTTP ingest → semantic_triples. ME (Meridian $5B, Cascadia $1B): output triples push to Convergence backend → convergence_triples. Not pipe ingest.",
Data Mode,Mode Switching & Fallback,,,A/R,,I,,,,On Docket,SE/ME,"DCL decides data source per query; live data preferred, demo fallback if unavailable",
Data Mode,Production Mode (Enterprise-sourced live data),,R,A/R,,I,,,,On Docket,SE/ME,"Enterprise data enters via MCP discovery → transport shims → flow controller → production ingest pipeline → PG. Per Connectivity Architecture Blueprint. AAM provisions connections, not pipes.",
Data Query,Fact Base Execution,,,A/R,,,I,,,Deprecated,SE/ME,fact_base.json removed. Replaced by semantic triple store (see Triple Store category),
Data Query,Quality Score Metadata,,,A/R,,,I,,,Live,SE/ME,"freshness, quality_score, record_count",
Data Query,Query Endpoint (POST /api/dcl/query),,,A/R,R,C,I,,,Live,SE/ME,Metric + dimensions + filters,
Data Query,Ranking/Superlative Support,,,A/R,,C,I,,,Live,SE/ME,"Top N, Bottom N, Best, Worst",
Discovery & Cataloging,Asset discovery (find data sources),A/R,,,,,,,,Live,SE/ME,,
Discovery & Cataloging,Domain canonicalization (alias collapsing),A/R,,,,,C,,,Live,SE/ME,,
Discovery & Cataloging,Source catalog management,A/R,,,,,,,,Live,SE/ME,,
Drift Detection,Acknowledge Drift,,A/R,,,I,I,,,Live,SE/ME,,
Drift Detection,Detect Contract Drift,,A/R,,,I,C,,,Live,SE/ME,,
Drift Detection,Detect Freshness Drift,,A/R,,,I,C,,,Live,SE/ME,,
Drift Detection,Detect Schema Drift,,A/R,,,I,C,,,Live,SE/ME,,
Drift Detection,Drift Acknowledgement,,A/R,,,I,I,,,Live,SE/ME,Operator action,
Drift Detection,Fabric Drift Detection,,A/R,,,I,I,,,Live,SE/ME,Connectivity drift,
Drift Detection,Schema Drift Detection,,A/R,,,I,C,,,Live,SE/ME,Field changes (not connection),
Drift Detection,Schema Hash Computation,,A/R,,,I,C,,,Live,SE/ME,SYNTHETIC mode: replaced by triple-store concept+property delta between run_ids (AAM controls redesign Layer 1). PRODUCTION_SE: vendor-specific detection per Connectivity Blueprint §4. Hash computation code retained.,
Drift Detection,Suppress Drift,,A/R,,,I,I,,,Live,SE/ME,,
Economics,Budget enforcement,I,C,I,,,I,,,Cancelled,SE/ME,Prevent runaway spend,
Economics,Cost attribution per agent,I,C,C,,,I,,,Cancelled,SE/ME,Tokens & infra,
Engagement Type,"Convergence-Lite (upload-based, no AOD/AAM)",,,C,A/R,,R,,A/R,On Docket,ME,Greenfield M&A. GL upload. Farm processes. Mai runs COFA chain. User story 1,
Engagement Type,Engagement type switching (UI conditional rendering),,,,C,,,,A/R,On Docket,SE/ME,"SE hides Convergence UI elements. ME shows Merge tab, combining, cross-sell. Config-driven",
Engagement Type,Multi-entity engagement (Convergence),,,C,A/R,R,R,,A/R,On Docket,ME,"Two entities through same pipeline, tagged by entity_id. COFA unification, combining, full Convergence chain",
Engagement Type,Single-entity engagement (ContextOS),R,R,R,,R,R,,A/R,On Docket,SE,Full pipeline: AOD→AAM→Farm→DCL→NLQ. One entity_id. No Convergence features. Platform orchestrates,
Execution,Fabric action routing,I,C,I,,,I,,,Cancelled,SE/ME,Writes routed via AAM,
Execution,Transaction execution,I,R,I,,,I,,,Cancelled,SE/ME,Execution via adapters,
Export,DCL Pipe Export,,A/R,R,,,I,,,Deprecated,SE/ME,Replaced by mapping.* triples written directly to PG. Kept running until EAV store verified as sole consumer. Removal is cleanup debt.,
Export,Pipe Snapshot Export,,A/R,,,,I,,,Deprecated,SE/ME,Point-in-time pipe export. Part of old pipe export path. Pipe state is now readable from mapping.* triples in the triple store.,
Fabric Detection,Connection Routing Logic,A/R,I,,,,,,,Live,SE/ME,Context for AAM Handoff,
Fabric Detection,Evidence Lead Export to AAM,A/R,I,,,,I,,,Live,SE/ME,Passes connection hints in ConnectionCandidate handoff for AAM to validate against plane crawl,
Fabric Detection,Evidence Lead Generation (Connection Hints),A/R,C,,,,C,,,Live,SE/ME,"Observation plane signals hinting at asset-to-fabric connections (Network traffic, IdP OAuth, CMDB deps)",
Fabric Detection,Fabric Plane Identification,A/R,C,,,,,,,Live,SE/ME,Detects the Backbone,
Fabric Mgmt,Fabric Plane Connection (The Backbone),,A/R,,,,I,,,Live,SE/ME,"Connects to Planes, not Apps",
Fabric Mgmt,Routing Policy Enforcement,,A/R,,,,I,,,Live,SE/ME,Enforces 'Block Direct Access',
Findings & Issues,CMDB gap detection,A/R,,,,,C,,,Live,SE/ME,,
